,100_top_x,100_top_y,100_bottom_x,100_bottom_y
49,225.0,21.159071298096894,225.0,-3.159071298096894
50,229.5,21.149401691826284,229.5,-3.1494016918262844
51,234.0,21.155641813197207,234.0,-3.1556418131972084
52,238.5,21.17893694578632,238.5,-3.178936945786317
53,243.0,21.216602091152367,243.0,-3.2166020911523656
54,247.5,21.265819107013108,247.5,-3.2658191070131064
55,252.0,21.323769851086293,252.0,-3.3237698510862934
56,256.5,21.38763618108969,256.5,-3.3876361810896896
57,261.0,21.45459995474105,261.0,-3.454599954741049
58,265.5,21.521843029758124,265.5,-3.5218430297581254
59,270.0,21.586547263858677,270.0,-3.5865472638586784
60,274.5,21.645894514760457,274.5,-3.6458945147604584
61,279.0,21.697109046391592,279.0,-3.697109046391592
62,283.5,21.738635064540013,283.5,-3.7386350645400146
63,288.0,21.770290396959837,288.0,-3.7702903969598367
64,292.5,21.791966149336687,292.5,-3.7919661493366874
65,297.0,21.803553427356192,297.0,-3.803553427356192
66,301.5,21.804943336703975,301.5,-3.8049433367039747
67,306.0,21.79602698306566,306.0,-3.7960269830656603
68,310.5,21.77669547212688,310.5,-3.7766954721268817
69,315.0,21.746839909573264,315.0,-3.7468399095732643
70,319.5,21.70635140109043,319.5,-3.70635140109043
71,324.0,21.65515151015259,324.0,-3.6551515101525887
72,328.5,21.594646141524564,328.5,-3.594646141524562
73,333.0,21.528363727113206,333.0,-3.528363727113206
74,337.5,21.459995933536096,337.5,-3.4599959335360957
75,342.0,21.393234427410807,342.0,-3.393234427410807
76,346.5,21.331770875354895,346.5,-3.331770875354895
77,351.0,21.27929694398594,351.0,-3.2792969439859405
78,355.5,21.239504299921506,355.5,-3.2395042999215047
79,360.0,21.21608460977916,360.0,-3.216084609779159
80,364.5,21.21272954017648,364.5,-3.212729540176479
81,369.0,21.23311017836012,369.0,-3.2331101783601213
82,373.5,21.278888455217324,373.5,-3.2788884552173236
83,378.0,21.3480593626197,378.0,-3.348059362619699
84,382.5,21.43822764659059,382.5,-3.4382276465905903
85,387.0,21.546998053153334,387.0,-3.5469980531533345
86,391.5,21.67197532833128,391.5,-3.6719753283312766
87,396.0,21.810764218147767,396.0,-3.8107642181477672
88,400.5,21.96096946862614,400.5,-3.960969468626141
89,405.0,22.120195825789743,405.0,-4.120195825789743
90,409.5,22.28604803566192,409.5,-4.286048035661919
91,414.0,22.456128614236853,414.0,-4.456128614236855
92,418.5,22.627436575869154,418.5,-4.6274365758691545
93,423.0,22.79555375138653,423.0,-4.795553751386532
94,427.5,22.955858760210123,427.5,-4.955858760210123
95,432.0,23.10373022176107,432.0,-5.103730221761069
96,436.5,23.234546755460492,436.5,-5.234546755460492
97,441.0,23.343686980729537,441.0,-5.343686980729537
98,445.5,23.42652951698932,445.5,-5.426529516989321
99,450.0,23.478452983660993,450.0,-5.478452983660992
100,454.5,23.494836000165677,454.5,-5.494836000165677
101,459.0,23.471058843780604,459.0,-5.471058843780602
102,463.5,23.405359935672855,463.5,-5.405359935672855
103,468.0,23.3046996778707,468.0,-5.304699677870701
104,472.5,23.177696328487023,472.5,-5.177696328487022
105,477.0,23.03296814563468,477.0,-5.03296814563468
106,481.5,22.879133387426563,481.5,-4.879133387426563
107,486.0,22.724810311975546,486.0,-4.724810311975546
108,490.5,22.578617177394506,490.5,-4.578617177394504
109,495.0,22.44917224179631,495.0,-4.4491722417963135
110,499.5,22.345093763293853,499.5,-4.345093763293853
111,504.0,22.275,504.0,-4.274999999999997
112,508.5,22.24540403796204,508.5,-4.245404037962038
113,513.0,22.2543982749649,513.0,-4.254398274964901
114,517.5,22.29796993672793,517.5,-4.297969936727931
115,522.0,22.372106248970464,522.0,-4.372106248970464
